temps (s);temps (ms);temps r;ACTU;MILIEU;LASER;;;;
0;0;0;23.62;23.71;23.45;;;;
0.003;3;4;23.62;23.71;23.45;;;;
0.006;6;7;23.53;23.71;23.45;;;; tension d'entrée = 0.532V
0.009;9;10;23.53;23.71;23.45;;;; courant = 1.3455A
0.012;12;13;23.53;23.71;23.45;;;;
0.014;14;15;23.53;23.71;23.45;;;;
0.017;17;18;23.62;23.71;23.45;;;;
0.02;20;21;23.62;23.71;23.45;;;;
0.023;23;24;23.62;23.71;23.45;;;;
0.026;26;27;23.62;23.71;23.45;;;;
0.029;29;30;23.62;23.71;23.45;;;;
0.032;32;33;23.53;23.71;23.45;;;;
0.035;35;36;23.53;23.71;23.45;;;;
0.038;38;39;23.62;23.71;23.45;;;;
0.042;42;43;23.53;23.71;23.45;;;;
0.045;45;46;23.62;23.71;23.45;;;;
0.048;48;49;23.53;23.71;23.45;;;;
0.051;51;52;23.62;23.71;23.45;;;;
0.054;54;55;23.53;23.71;23.45;;;;
0.057;57;58;23.53;23.71;23.45;;;;
0.06;60;61;23.53;23.71;23.45;;;;
0.063;63;64;23.62;23.71;23.45;;;;
0.065;65;66;23.53;23.71;23.45;;;;
0.068;68;69;23.62;23.71;23.45;;;;
0.071;71;72;23.53;23.71;23.45;;;;
0.074;74;75;23.62;23.71;23.45;;;;
0.077;77;78;23.62;23.71;23.45;;;;
0.08;80;81;23.62;23.71;23.45;;;;
0.083;83;84;23.53;23.8;23.45;;;;
0.087;87;88;23.53;23.71;23.45;;;;
0.09;90;91;23.62;23.71;23.45;;;;
0.093;93;94;23.53;23.71;23.45;;;;
0.096;96;97;23.62;23.71;23.45;;;;
0.099;99;100;23.62;23.71;23.45;;;;
0.102;102;103;23.62;23.71;23.45;;;;
0.105;105;106;23.53;23.71;23.45;;;;
0.108;108;109;23.62;23.71;23.45;;;;
0.111;111;112;23.53;23.71;23.45;;;;
0.114;114;115;23.62;23.71;23.45;;;;
0.117;117;118;23.53;23.71;23.45;;;;
0.12;120;121;23.53;23.71;23.45;;;;
0.123;123;124;23.53;23.71;23.45;;;;
0.127;127;128;23.62;23.71;23.45;;;;
0.13;130;131;23.62;23.71;23.45;;;;
0.133;133;134;23.62;23.71;23.45;;;;
0.136;136;137;23.62;23.71;23.45;;;;
0.139;139;140;23.62;23.71;23.45;;;;
0.142;142;143;23.62;23.71;23.45;;;;
0.145;145;146;23.62;23.71;23.45;;;;
0.148;148;149;23.62;23.71;23.45;;;;
0.151;151;152;23.62;23.71;23.45;;;;
0.154;154;155;23.62;23.71;23.45;;;;
0.157;157;158;23.53;23.71;23.45;;;;
0.16;160;161;23.53;23.71;23.45;;;;
0.163;163;164;23.62;23.71;23.45;;;;
0.166;166;167;23.62;23.71;23.45;;;;
0.17;170;171;23.62;23.71;23.45;;;;
0.173;173;174;23.53;23.71;23.45;;;;
0.176;176;177;23.62;23.71;23.45;;;;
0.179;179;180;23.62;23.71;23.45;;;;
