temps (s);temps (ms);temps;ACTU;T2;LASER
0;0;0;23.45;24.45;23.18
0.003;3;18204;23.45;23.45;23.18
0.007;7;18208;23.45;23.45;23.18
0.01;10;18211;23.45;23.45;23.18
0.013;13;18214;23.45;23.45;23.18
0.016;16;18217;23.45;23.45;23.18
0.02;20;18221;23.45;23.45;23.18
0.023;23;18224;23.45;23.45;23.18
0.027;27;18228;23.45;23.45;23.18
0.03;30;18231;23.45;23.45;23.18
0.033;33;18234;23.45;23.45;23.18
0.036;36;18237;23.45;23.45;23.18
0.039;39;18240;23.45;23.45;23.18
0.042;42;18243;23.45;23.45;23.18
0.046;46;18247;23.45;23.45;23.18
0.049;49;18250;23.45;23.45;23.09
0.052;52;18253;23.45;23.45;23.18
0.055;55;18256;23.45;23.45;23.18
0.058;58;18259;23.45;23.45;23.18
0.062;62;18263;23.45;23.45;23.18
0.066;66;18267;23.45;23.45;23.18
0.069;69;18270;23.45;23.45;23.18
0.072;72;18273;23.45;23.45;23.18
0.075;75;18276;23.45;23.45;23.18
0.078;78;18279;23.45;23.45;23.18
0.081;81;18282;23.45;23.45;23.18
0.084;84;18285;23.45;23.45;23.18
0.088;88;18289;23.45;23.45;23.18
0.091;91;18292;23.45;23.45;23.18
0.094;94;18295;23.45;23.45;23.18
0.097;97;18298;23.45;23.45;23.18
0.1;100;18301;23.45;23.45;23.18
0.104;104;18305;23.45;23.45;23.18
0.108;108;18309;23.45;23.45;23.18
0.111;111;18312;23.53;23.45;23.18
0.114;114;18315;23.45;23.45;23.18
0.117;117;18318;23.45;23.45;23.18
0.12;120;18321;23.53;23.45;23.18
0.123;123;18324;23.45;23.45;23.18
0.127;127;18328;23.45;23.45;23.18
0.13;130;18331;23.45;23.45;23.18
0.133;133;18334;23.53;23.45;23.18
0.136;136;18337;23.45;23.45;23.18
0.139;139;18340;23.45;23.45;23.18
0.142;142;18343;23.45;23.45;23.18
0.146;146;18347;23.45;23.45;23.18
0.15;150;18351;23.53;23.45;23.18
0.153;153;18354;23.45;23.45;23.18
0.156;156;18357;23.45;23.45;23.18
0.159;159;18360;23.45;23.45;23.18
0.162;162;18363;23.45;23.45;23.18
0.165;165;18366;23.45;23.45;23.09
0.169;169;18370;23.45;23.45;23.18
0.172;172;18373;23.45;23.45;23.18
0.175;175;18376;23.45;23.45;23.18
0.178;178;18379;23.45;23.45;23.18
0.181;181;18382;23.45;23.45;23.18
0.184;184;18385;23.53;23.45;23.18
0.187;187;18388;23.45;23.45;23.18
0.192;192;18393;23.45;23.45;23.18
0.195;195;18396;23.45;23.45;23.18
0.198;198;18399;23.45;23.45;23.18
0.201;201;18402;23.53;23.45;23.18
0.204;204;18405;23.53;23.45;23.18
0.208;208;18409;23.53;23.45;23.18
0.211;211;18412;23.45;23.45;23.18
0.214;214;18415;23.53;23.45;23.18
0.217;217;18418;23.53;23.45;23.18
0.22;220;18421;23.45;23.45;23.18
0.223;223;18424;23.53;23.45;23.18
0.226;226;18427;23.53;23.45;23.18
0.231;231;18432;23.45;23.45;23.18
0.234;234;18435;23.45;23.45;23.18
0.237;237;18438;23.53;23.36;23.18
0.24;240;18441;23.53;23.45;23.18
0.243;243;18444;23.45;23.45;23.18
0.246;246;18447;23.53;23.45;23.18
0.25;250;18451;23.45;23.45;23.18
0.253;253;18454;23.53;23.45;23.18
0.256;256;18457;23.45;23.45;23.18
0.259;259;18460;23.53;23.45;23.18
0.262;262;18463;23.45;23.45;23.18
0.265;265;18466;23.45;23.45;23.09
0.268;268;18469;23.53;23.45;23.18
0.272;272;18473;23.53;23.45;23.18
0.276;276;18477;23.53;23.45;23.18
0.279;279;18480;23.53;23.45;23.18
0.282;282;18483;23.45;23.45;23.18
0.285;285;18486;23.53;23.45;23.18
0.289;289;18490;23.53;23.45;23.18
0.292;292;18493;23.53;23.45;23.18
0.295;295;18496;23.45;23.45;23.18
0.298;298;18499;23.53;23.45;23.18
0.301;301;18502;23.53;23.45;23.18
0.304;304;18505;23.53;23.45;23.18
0.307;307;18508;23.53;23.45;23.18
0.311;311;18512;23.45;23.45;23.18
0.314;314;18515;23.53;23.45;23.18
0.318;318;18519;23.45;23.45;23.18
0.321;321;18522;23.53;23.45;23.18
0.324;324;18525;23.45;23.45;23.09
0.327;327;18528;23.53;23.45;23.18
0.331;331;18532;23.45;23.45;23.18
0.334;334;18535;23.53;23.45;23.18
0.337;337;18538;23.53;23.45;23.18
0.34;340;18541;23.53;23.45;23.18
0.343;343;18544;23.53;23.45;23.18
0.346;346;18547;23.53;23.45;23.18
0.349;349;18550;23.53;23.45;23.18
0.353;353;18554;23.53;23.45;23.18
0.356;356;18557;23.45;23.45;23.18
0.36;360;18561;23.53;23.45;23.18
0.363;363;18564;23.53;23.45;23.18
0.366;366;18567;23.53;23.45;23.18
0.369;369;18570;23.53;23.45;23.09
0.373;373;18574;23.53;23.45;23.18
0.376;376;18577;23.53;23.45;23.18
0.379;379;18580;23.53;23.45;23.18
0.382;382;18583;23.53;23.45;23.18
0.385;385;18586;23.53;23.45;23.18
0.388;388;18589;23.53;23.45;23.18
0.392;392;18593;23.53;23.45;23.09
0.395;395;18596;23.53;23.45;23.18
0.398;398;18599;23.53;23.45;23.18
0.402;402;18603;23.53;23.45;23.18
0.405;405;18606;23.53;23.45;23.18
0.408;408;18609;23.45;23.45;23.18
0.412;412;18613;23.53;23.45;23.18
0.415;415;18616;23.53;23.45;23.18
0.418;418;18619;23.53;23.45;23.18
0.421;421;18622;23.53;23.45;23.18
0.424;424;18625;23.53;23.45;23.18
0.427;427;18628;23.53;23.45;23.18
0.43;430;18631;23.53;23.45;23.09
0.434;434;18635;23.53;23.45;23.18
0.437;437;18638;23.53;23.45;23.18
0.44;440;18641;23.53;23.45;23.18
0.443;443;18644;23.53;23.45;23.18
0.447;447;18648;23.53;23.45;23.18
0.45;450;18651;23.53;23.45;23.18
0.454;454;18655;23.53;23.45;23.18
0.457;457;18658;23.53;23.45;23.18
0.46;460;18661;23.53;23.45;23.18
0.463;463;18664;23.53;23.45;23.18
0.466;466;18667;23.53;23.45;23.18
0.469;469;18670;23.53;23.45;23.18
0.472;472;18673;23.53;23.45;23.18
0.476;476;18677;23.53;23.45;23.18
0.479;479;18680;23.53;23.45;23.18
0.482;482;18683;23.53;23.45;23.18
0.485;485;18686;23.53;23.45;23.18
0.489;489;18690;23.53;23.45;23.18
0.493;493;18694;23.53;23.45;23.18
0.496;496;18697;23.53;23.45;23.09
0.499;499;18700;23.53;23.36;23.18
0.502;502;18703;23.53;23.45;23.18
0.505;505;18706;23.53;23.45;23.18
0.508;508;18709;23.53;23.45;23.18
0.511;511;18712;23.53;23.45;23.18
0.515;515;18716;23.53;23.45;23.18
0.518;518;18719;23.53;23.45;23.18
