temps (s);temps (ms);temps;ACTU;MILIEU;LASER; courant = 0.647A; tension = -0.336
0;0;7;23.62;23.80;23.62;;
0.003;3;13372;23.53;23.71;23.45;;
0.006;6;13375;23.53;23.71;23.45;;
0.009;9;13378;23.53;23.71;23.45;;
0.013;13;13382;23.53;23.71;23.45;;
0.016;16;13385;23.53;23.71;23.45;;
0.019;19;13388;23.53;23.71;23.45;;
0.022;22;13391;23.53;23.71;23.45;;
0.025;25;13394;23.53;23.71;23.45;;
0.029;29;13398;23.53;23.71;23.45;;
0.033;33;13402;23.53;23.71;23.45;;
0.036;36;13405;23.53;23.71;23.45;;
0.039;39;13408;23.53;23.71;23.45;;
0.042;42;13411;23.53;23.71;23.45;;
0.045;45;13414;23.53;23.71;23.45;;
0.048;48;13417;23.45;23.71;23.45;;
0.051;51;13420;23.53;23.71;23.45;;
0.055;55;13424;23.53;23.71;23.45;;
0.058;58;13427;23.53;23.71;23.45;;
0.061;61;13430;23.53;23.71;23.45;;
0.064;64;13433;23.53;23.71;23.45;;
0.067;67;13436;23.53;23.71;23.45;;
0.071;71;13440;23.53;23.71;23.45;;
0.075;75;13444;23.53;23.71;23.53;;
0.078;78;13447;23.53;23.71;23.45;;
0.081;81;13450;23.53;23.71;23.45;;
0.084;84;13453;23.53;23.71;23.45;;
0.087;87;13456;23.45;23.71;23.53;;
0.09;90;13459;23.53;23.71;23.45;;
0.093;93;13462;23.53;23.71;23.45;;
0.097;97;13466;23.53;23.71;23.45;;
0.1;100;13469;23.53;23.71;23.45;;
0.103;103;13472;23.53;23.71;23.45;;
0.106;106;13475;23.53;23.71;23.45;;
0.109;109;13478;23.53;23.71;23.45;;
0.112;112;13481;23.53;23.71;23.45;;
0.117;117;13486;23.53;23.71;23.45;;
0.12;120;13489;23.53;23.71;23.45;;
0.123;123;13492;23.53;23.71;23.45;;
0.126;126;13495;23.45;23.71;23.45;;
0.129;129;13498;23.53;23.71;23.45;;
0.132;132;13501;23.53;23.71;23.45;;
0.135;135;13504;23.53;23.71;23.45;;
0.139;139;13508;23.53;23.71;23.45;;
0.142;142;13511;23.45;23.71;23.45;;
0.145;145;13514;23.45;23.71;23.45;;
0.148;148;13517;23.53;23.71;23.45;;
0.151;151;13520;23.45;23.71;23.45;;
0.154;154;13523;23.53;23.71;23.45;;
0.159;159;13528;23.53;23.71;23.45;;
0.162;162;13531;23.45;23.71;23.45;;
0.165;165;13534;23.53;23.71;23.45;;
0.168;168;13537;23.53;23.71;23.45;;
0.171;171;13540;23.53;23.71;23.53;;
0.174;174;13543;23.45;23.71;23.45;;
0.178;178;13547;23.45;23.71;23.53;;
0.181;181;13550;23.45;23.71;23.45;;
0.184;184;13553;23.53;23.71;23.45;;
0.187;187;13556;23.45;23.71;23.45;;
0.19;190;13559;23.53;23.71;23.45;;
0.193;193;13562;23.53;23.71;23.45;;
0.196;196;13565;23.53;23.71;23.45;;
0.201;201;13570;23.53;23.71;23.45;;
0.204;204;13573;23.53;23.71;23.45;;
0.207;207;13576;23.53;23.71;23.45;;
0.21;210;13579;23.45;23.71;23.45;;
0.213;213;13582;23.53;23.71;23.45;;
0.216;216;13585;23.53;23.71;23.45;;
0.22;220;13589;23.45;23.71;23.45;;
0.223;223;13592;23.53;23.71;23.45;;
0.226;226;13595;23.45;23.71;23.45;;
0.229;229;13598;23.45;23.71;23.53;;
0.232;232;13601;23.45;23.71;23.45;;
0.235;235;13604;23.45;23.71;23.45;;
0.238;238;13607;23.53;23.71;23.45;;
0.243;243;13612;23.53;23.71;23.45;;
0.246;246;13615;23.45;23.62;23.45;;
0.249;249;13618;23.45;23.71;23.45;;
0.252;252;13621;23.45;23.71;23.53;;
0.255;255;13624;23.45;23.71;23.45;;
0.258;258;13627;23.45;23.71;23.45;;
0.262;262;13631;23.53;23.71;23.45;;
0.265;265;13634;23.53;23.71;23.45;;
0.268;268;13637;23.45;23.71;23.45;;
0.271;271;13640;23.53;23.71;23.45;;
0.274;274;13643;23.45;23.71;23.45;;
0.277;277;13646;23.45;23.71;23.45;;
0.28;280;13649;23.45;23.71;23.45;;
0.285;285;13654;23.45;23.71;23.45;;
0.288;288;13657;23.53;23.71;23.45;;
0.291;291;13660;23.45;23.71;23.45;;
0.294;294;13663;23.45;23.71;23.45;;
0.297;297;13666;23.45;23.71;23.45;;
0.3;300;13669;23.53;23.71;23.45;;
0.304;304;13673;23.53;23.71;23.45;;
0.307;307;13676;23.45;23.71;23.45;;
0.31;310;13679;23.45;23.71;23.45;;
0.313;313;13682;23.53;23.71;23.45;;
0.316;316;13685;23.45;23.71;23.45;;
0.319;319;13688;23.45;23.71;23.45;;
0.322;322;13691;23.45;23.71;23.45;;
0.327;327;13696;23.45;23.71;23.45;;
0.33;330;13699;23.45;23.71;23.45;;
0.333;333;13702;23.53;23.71;23.45;;
0.336;336;13705;23.45;23.71;23.45;;
0.339;339;13708;23.45;23.71;23.45;;
0.342;342;13711;23.45;23.71;23.45;;
0.346;346;13715;23.45;23.71;23.45;;
0.349;349;13718;23.53;23.71;23.45;;
0.352;352;13721;23.45;23.71;23.45;;
0.355;355;13724;23.53;23.71;23.45;;
0.358;358;13727;23.45;23.71;23.45;;
0.361;361;13730;23.45;23.71;23.45;;
0.364;364;13733;23.45;23.71;23.45;;
0.368;368;13737;23.45;23.71;23.45;;
0.372;372;13741;23.45;23.71;23.45;;
0.375;375;13744;23.45;23.71;23.45;;
0.378;378;13747;23.45;23.71;23.45;;
0.381;381;13750;23.45;23.71;23.45;;
0.384;384;13753;23.45;23.71;23.45;;
0.388;388;13757;23.45;23.71;23.45;;
0.391;391;13760;23.45;23.71;23.45;;
0.394;394;13763;23.45;23.71;23.45;;
0.397;397;13766;23.45;23.71;23.45;;
0.4;400;13769;23.45;23.71;23.45;;
0.403;403;13772;23.45;23.71;23.45;;
0.407;407;13776;23.45;23.71;23.45;;
0.41;410;13779;23.45;23.71;23.45;;
0.414;414;13783;23.45;23.71;23.45;;
0.417;417;13786;23.45;23.71;23.53;;
0.42;420;13789;23.45;23.71;23.45;;
0.423;423;13792;23.45;23.71;23.45;;
0.427;427;13796;23.45;23.71;23.45;;
0.43;430;13799;23.45;23.71;23.45;;
0.433;433;13802;23.45;23.71;23.45;;
0.436;436;13805;23.45;23.71;23.45;;
0.439;439;13808;23.45;23.71;23.45;;
0.442;442;13811;23.45;23.71;23.45;;
0.445;445;13814;23.45;23.71;23.45;;
0.449;449;13818;23.45;23.71;23.45;;
0.452;452;13821;23.45;23.71;23.45;;
0.456;456;13825;23.45;23.71;23.45;;
0.459;459;13828;23.45;23.71;23.45;;
0.462;462;13831;23.45;23.71;23.45;;
0.465;465;13834;23.45;23.71;23.45;;
0.469;469;13838;23.45;23.71;23.45;;
0.472;472;13841;23.45;23.71;23.45;;
0.475;475;13844;23.45;23.71;23.45;;
0.478;478;13847;23.45;23.71;23.45;;
0.481;481;13850;23.45;23.71;23.45;;
0.484;484;13853;23.45;23.71;23.45;;
0.487;487;13856;23.45;23.71;23.45;;
0.491;491;13860;23.45;23.71;23.45;;
0.494;494;13863;23.45;23.71;23.45;;
0.498;498;13867;23.45;23.71;23.45;;
0.501;501;13870;23.45;23.71;23.45;;
0.504;504;13873;23.45;23.71;23.45;;
0.507;507;13876;23.45;23.71;23.45;;
0.511;511;13880;23.45;23.71;23.45;;
0.514;514;13883;23.45;23.71;23.45;;
0.517;517;13886;23.45;23.71;23.45;;
0.52;520;13889;23.45;23.71;23.45;;
0.523;523;13892;23.45;23.71;23.45;;
0.526;526;13895;23.45;23.71;23.45;;
0.529;529;13898;23.45;23.71;23.45;;
0.533;533;13902;23.45;23.71;23.45;;
0.536;536;13905;23.45;23.71;23.45;;
0.539;539;13908;23.45;23.71;23.45;;
0.543;543;13912;23.45;23.71;23.45;;
0.546;546;13915;23.45;23.71;23.45;;
0.549;549;13918;23.45;23.71;23.45;;
0.553;553;13922;23.45;23.71;23.45;;
0.556;556;13925;23.45;23.71;23.45;;
0.559;559;13928;23.45;23.71;23.45;;
0.562;562;13931;23.45;23.71;23.45;;
0.565;565;13934;23.45;23.71;23.45;;
0.568;568;13937;23.45;23.71;23.45;;
0.572;572;13941;23.45;23.71;23.45;;
0.575;575;13944;23.45;23.71;23.45;;
0.578;578;13947;23.45;23.71;23.45;;
0.581;581;13950;23.45;23.71;23.45;;
0.585;585;13954;23.45;23.71;23.45;;
0.588;588;13957;23.45;23.71;23.45;;
0.592;592;13961;23.45;23.71;23.45;;
0.595;595;13964;23.45;23.71;23.45;;
0.598;598;13967;23.45;23.71;23.45;;
0.601;601;13970;23.45;23.71;23.45;;
0.604;604;13973;23.45;23.71;23.45;;
0.607;607;13976;23.45;23.71;23.45;;
0.61;610;13979;23.45;23.71;23.45;;
0.614;614;13983;23.45;23.71;23.45;;
0.617;617;13986;23.45;23.71;23.45;;
0.62;620;13989;23.45;23.71;23.53;;
0.623;623;13992;23.45;23.71;23.53;;
0.627;627;13996;23.45;23.71;23.45;;
