temps (ms);temps;ACTU;MILIEU;MILIEU;LASER;LASERR
0;0.3;26.12;26.15;26.3;26.13;26.03
0.15;0.45;26.12;26.15;26.3;26.22;26.12
0.3;0.6;26.12;26.15;26.3;26.22;26.12
0.45;0.75;26.12;26.15;26.3;26.13;26.03
0.6;0.9;26.12;26.15;26.3;26.13;26.03
0.75;1.05;26.12;26.15;26.3;26.13;26.03
0.9;1.2;26.12;26.15;26.3;26.13;26.03
1.05;1.35;26.03;26.15;26.3;26.22;26.12
1.2;1.5;26.12;26.15;26.3;26.13;26.03
1.35;1.65;26.12;26.15;26.3;26.22;26.12
1.5;1.8;26.03;26.15;26.3;26.13;26.03
1.65;1.95;26.12;26.15;26.3;26.22;26.12
1.8;2.1;26.12;26.15;26.3;26.22;26.12
1.95;2.25;26.03;26.15;26.3;26.22;26.12
2.1;2.4;26.12;26.15;26.3;26.22;26.12
2.25;2.55;26.12;26.15;26.3;26.13;26.03
2.4;2.7;26.12;26.15;26.3;26.13;26.03
2.55;2.85;26.12;26.15;26.3;26.13;26.03
2.7;3;26.12;26.15;26.3;26.13;26.03
2.85;3.15;26.03;26.15;26.3;26.13;26.03
3;3.3;26.12;26.15;26.3;26.13;26.03
3.15;3.45;26.03;26.15;26.3;26.13;26.03
3.3;3.6;26.12;26.15;26.3;26.22;26.12
3.45;3.75;26.12;26.15;26.3;26.13;26.03
3.6;3.9;26.03;26.15;26.3;26.13;26.03
3.75;4.05;26.12;26.15;26.3;26.13;26.03
3.9;4.2;26.12;26.15;26.3;26.13;26.03
4.05;4.35;26.12;26.15;26.3;26.13;26.03
4.2;4.5;26.12;26.15;26.3;26.13;26.03
4.35;4.65;26.03;26.15;26.3;26.13;26.03
4.5;4.8;26.12;26.15;26.3;26.13;26.03
4.65;4.95;26.03;26.15;26.3;26.13;26.03
4.8;5.1;26.12;26.15;26.3;26.13;26.03
4.95;5.25;26.03;26.15;26.3;26.13;26.03
5.1;5.4;26.12;26.15;26.3;26.13;26.03
5.25;5.55;26.03;26.15;26.3;26.13;26.03
5.4;5.7;26.03;26.15;26.3;26.13;26.03
5.55;5.85;26.03;26.15;26.3;26.13;26.03
0;0.3;26.03;26.15;26.3;26.04;25.94
0.15;0.45;26.03;26.15;26.3;26.04;25.94
0.3;0.6;26.12;26.15;26.3;26.04;25.94
0.45;0.75;26.03;26.06;26.21;26.13;26.03
0.6;0.9;26.12;26.15;26.3;26.13;26.03
0.75;1.05;26.03;26.06;26.21;26.04;25.94
0.9;1.2;26.12;26.06;26.21;26.04;25.94
1.05;1.35;26.12;26.06;26.21;26.13;26.03
1.2;1.5;26.03;26.06;26.21;26.13;26.03
1.35;1.65;26.12;26.15;26.3;26.13;26.03
1.5;1.8;26.12;26.06;26.21;26.04;25.94
1.65;1.95;26.12;26.15;26.3;26.13;26.03
1.8;2.1;26.03;26.06;26.21;26.04;25.94
1.95;2.25;26.03;26.06;26.21;26.04;25.94
2.1;2.4;26.12;26.15;26.3;26.04;25.94
2.25;2.55;26.12;26.06;26.21;26.04;25.94
2.4;2.7;26.12;26.15;26.3;26.04;25.94
2.55;2.85;26.12;26.06;26.21;26.04;25.94
2.7;3;26.03;26.06;26.21;26.04;25.94
2.85;3.15;26.12;26.06;26.21;26.04;25.94
3;3.3;26.03;26.06;26.21;26.04;25.94
3.15;3.45;26.12;26.15;26.3;26.13;26.03
3.3;3.6;26.03;26.06;26.21;26.13;26.03
3.45;3.75;26.12;26.15;26.3;26.04;25.94
3.6;3.9;26.12;26.06;26.21;26.04;25.94
3.75;4.05;26.03;26.06;26.21;26.04;25.94
3.9;4.2;26.03;26.15;26.3;26.04;25.94
4.05;4.35;26.03;26.06;26.21;26.04;25.94
4.2;4.5;26.12;26.15;26.3;26.04;25.94
4.35;4.65;26.03;26.06;26.21;26.04;25.94
4.5;4.8;26.03;26.15;26.3;26.04;25.94
4.65;4.95;26.03;26.06;26.21;26.04;25.94
4.8;5.1;26.03;26.06;26.21;26.04;25.94
4.95;5.25;26.03;26.06;26.21;26.04;25.94
5.1;5.4;26.03;26.06;26.21;26.04;25.94
5.25;5.55;26.03;26.15;26.3;26.04;25.94
