temps (s);temps;ACTU;MILIEU;LASER;TENSION_ACTU;TENSION_MILIEU;TENSION_LASER;DUTY CYCLE; u=-0.10770V; I=-0.123A
0;2;24.24;24.33;24.07;2.54;2.54;2.54;1700,00;;
2;4;24.15;24.24;24.07;2.55;2.54;2.54;1700,00;;
4;6;24.15;24.33;24.07;2.55;2.54;2.54;1700,00;;
6;8;24.07;24.24;24.07;2.55;2.54;2.54;1700,00;;
8;10;23.98;24.24;23.98;2.56;2.54;2.54;1700,00;;
10;12;23.89;24.24;24.07;2.56;2.54;2.54;1700,00;;
12;14;23.8;24.24;23.98;2.57;2.54;2.54;1700,00;;
14;16;23.71;24.24;23.98;2.57;2.54;2.54;1700,00;;
16;18;23.71;24.24;23.98;2.57;2.54;2.54;1700,00;;
18;20;23.62;24.15;23.98;2.58;2.55;2.55;1700,00;;
20;22;23.62;24.15;23.98;2.58;2.55;2.55;1700,00;;
22;24;23.53;24.15;23.98;2.58;2.55;2.55;1700,00;;
24;26;23.53;24.15;23.98;2.58;2.55;2.55;1700,00;;
26;28;23.53;24.07;23.98;2.58;2.55;2.55;1700,00;;
28;30;23.45;24.07;23.89;2.59;2.55;2.55;1700,00;;
30;32;23.45;24.07;23.8;2.59;2.55;2.55;1700,00;;
32;34;23.45;24.07;23.89;2.59;2.55;2.55;1700,00;;
34;36;23.36;24.07;23.89;2.59;2.55;2.55;1700,00;;
36;38;23.36;23.98;23.89;2.59;2.56;2.56;1700,00;;
38;40;23.27;23.98;23.8;2.6;2.56;2.56;1700,00;;
40;42;23.27;23.98;23.8;2.6;2.56;2.56;1700,00;;
42;44;23.27;23.89;23.8;2.6;2.56;2.56;1700,00;;
44;46;23.27;23.89;23.8;2.6;2.56;2.56;1700,00;;
46;48;23.27;23.89;23.8;2.6;2.56;2.56;1700,00;;
48;50;23.18;23.89;23.8;2.6;2.56;2.56;1700,00;;
50;52;23.18;23.89;23.8;2.6;2.56;2.56;1700,00;;
52;54;23.18;23.8;23.71;2.6;2.57;2.57;1700,00;;
54;56;23.18;23.8;23.71;2.6;2.57;2.57;1700,00;;
56;58;23.09;23.8;23.71;2.61;2.57;2.57;1700,00;;
58;60;23.09;23.8;23.71;2.61;2.57;2.57;1700,00;;
60;62;23.09;23.71;23.71;2.61;2.57;2.57;1700,00;;
62;64;23.09;23.8;23.62;2.61;2.57;2.57;1700,00;;
64;66;23.09;23.71;23.62;2.61;2.57;2.57;1700,00;;
66;68;23.00;23.71;23.62;2.61;2.57;2.57;1700,00;;
68;70;23.00;23.71;23.62;2.61;2.57;2.57;1700,00;;
70;72;23.00;23.62;23.62;2.61;2.58;2.58;1700,00;;
72;74;23.00;23.62;23.53;2.61;2.58;2.58;1700,00;;
74;76;23.00;23.62;23.53;2.61;2.58;2.58;1700,00;;
76;78;23.00;23.62;23.53;2.61;2.58;2.58;1700,00;;
78;79.99;23.00;23.62;23.53;2.61;2.58;2.58;1700,00;;
80;81.99;23.00;23.53;23.53;2.61;2.58;2.58;1700,00;;
82;83.99;22.92;23.53;23.53;2.61;2.58;2.58;1700,00;;
84;85.99;22.92;23.53;23.45;2.61;2.58;2.58;1700,00;;
86;87.99;22.92;23.53;23.45;2.61;2.58;2.58;1700,00;;
88;89.99;22.92;23.53;23.45;2.61;2.58;2.58;1700,00;;
90;91.99;22.92;23.53;23.45;2.61;2.58;2.58;1700,00;;
92;93.99;22.83;23.53;23.45;2.62;2.58;2.58;1700,00;;
94;95.99;22.83;23.45;23.36;2.62;2.59;2.59;1700,00;;
96;97.99;22.83;23.45;23.36;2.62;2.59;2.59;1700,00;;
98;99.99;22.83;23.53;23.36;2.62;2.58;2.58;1700,00;;
100;101.99;22.83;23.45;23.36;2.62;2.59;2.59;1700,00;;
102;103.99;22.74;23.45;23.36;2.62;2.59;2.59;1700,00;;
104;105.99;22.74;23.36;23.36;2.62;2.59;2.59;1700,00;;
106;107.99;22.74;23.36;23.36;2.62;2.59;2.59;1700,00;;
108;109.99;22.83;23.36;23.27;2.62;2.59;2.59;1700,00;;
110;111.99;22.74;23.36;23.27;2.62;2.59;2.59;1700,00;;
112;113.99;22.74;23.36;23.27;2.62;2.59;2.59;1700,00;;
114;115.99;22.74;23.36;23.27;2.62;2.59;2.59;1700,00;;
116;117.99;22.74;23.36;23.27;2.62;2.59;2.59;1700,00;;
118;119.99;22.74;23.27;23.27;2.62;2.6;2.6;1700,00;;
120;121.99;22.74;23.27;23.18;2.62;2.6;2.6;1700,00;;
122;123.99;22.65;23.27;23.18;2.63;2.6;2.6;1700,00;;
124;125.99;22.65;23.27;23.18;2.63;2.6;2.6;1700,00;;
126;127.99;22.65;23.27;23.18;2.63;2.6;2.6;1700,00;;
128;129.99;22.65;23.27;23.18;2.63;2.6;2.6;1700,00;;
130;131.99;22.65;23.27;23.18;2.63;2.6;2.6;1700,00;;
132;133.99;22.65;23.18;23.18;2.63;2.6;2.6;1700,00;;
134;135.99;22.65;23.27;23.18;2.63;2.6;2.6;1700,00;;
136;137.99;22.65;23.18;23.18;2.63;2.6;2.6;1700,00;;
138;139.99;22.56;23.18;23.09;2.63;2.6;2.6;1700,00;;
140;141.99;22.56;23.18;23.09;2.63;2.6;2.6;1700,00;;
142;143.99;22.56;23.18;23.09;2.63;2.6;2.6;1700,00;;
144;145.99;22.65;23.18;23.09;2.63;2.6;2.6;1700,00;;
146;147.99;22.56;23.18;23.09;2.63;2.6;2.6;1700,00;;
148;149.99;22.56;23.18;23.09;2.63;2.6;2.6;1700,00;;
150;151.99;22.56;23.09;23.00;2.63;2.61;2.61;1700,00;;
152;153.99;22.56;23.09;23.00;2.63;2.61;2.61;1700,00;;
154;155.99;22.56;23.09;23.00;2.63;2.61;2.61;1700,00;;
156;157.99;22.56;23.09;23.00;2.63;2.61;2.61;1700,00;;
158;159.99;22.56;23.09;23.00;2.63;2.61;2.61;1700,00;;
160;161.99;22.47;23.09;23.00;2.64;2.61;2.61;1700,00;;
162;163.99;22.56;23.09;23.00;2.63;2.61;2.61;1700,00;;
164;165.99;22.47;23.09;23.00;2.64;2.61;2.61;1700,00;;
166;167.99;22.47;23.09;23.00;2.64;2.61;2.61;1700,00;;
168;169.99;22.47;23.00;22.92;2.64;2.61;2.61;1700,00;;
170;171.99;22.47;23.09;22.92;2.64;2.61;2.61;1700,00;;
172;173.99;22.47;23.00;22.92;2.64;2.61;2.61;1700,00;;
174;175.99;22.47;23.00;22.92;2.64;2.61;2.61;1700,00;;
176;177.99;22.39;23.00;22.92;2.64;2.61;2.61;1700,00;;
178;179.99;22.47;23.00;22.92;2.64;2.61;2.61;1700,00;;
180;181.99;22.47;23.00;22.92;2.64;2.61;2.61;1700,00;;
182;183.99;22.39;23.00;22.92;2.64;2.61;2.61;1700,00;;
184;185.99;22.39;22.92;22.92;2.64;2.61;2.61;1700,00;;
186;187.99;22.39;23.00;22.83;2.64;2.61;2.61;1700,00;;
188;189.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
190;191.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
192;193.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
194;195.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
196;197.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
198;199.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
200;201.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
202;203.99;22.3;22.83;22.83;2.65;2.62;2.62;1700,00;;
204;205.99;22.3;22.92;22.83;2.65;2.61;2.61;1700,00;;
206;207.99;22.3;22.83;22.65;2.65;2.62;2.62;1700,00;;
208;209.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
210;211.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
212;213.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
