temps (s);temps (ms);temps;ACTU;MILIEU;LASER
0;0;7;24.78;24.69;24.33
0.003;3;10;24.87;24.69;24.33
0.005;5;12;24.87;24.69;24.33
0.008;8;15;24.87;24.69;24.33
0.011;11;18;24.87;24.69;24.33
0.014;14;21;24.78;24.69;24.33
0.017;17;24;24.78;24.60;24.33
0.02;20;27;24.87;24.60;24.33
0.023;23;30;24.87;24.69;24.24
0.026;26;33;24.87;24.69;24.33
0.029;29;36;24.87;24.69;24.24
0.032;32;39;24.87;24.69;24.24
0.036;36;43;24.78;24.69;24.24
0.039;39;46;24.87;24.69;24.33
0.042;42;49;24.78;24.69;24.33
0.045;45;52;24.87;24.69;24.33
0.048;48;55;24.87;24.69;24.24
0.05;50;57;24.87;24.69;24.33
0.053;53;60;24.87;24.69;24.33
0.056;56;63;24.78;24.69;24.33
0.059;59;66;24.87;24.69;24.24
0.062;62;69;24.78;24.69;24.33
0.065;65;72;24.87;24.69;24.33
0.068;68;75;24.87;24.69;24.24
0.071;71;78;24.87;24.69;24.33
0.074;74;81;24.87;24.60;24.33
0.077;77;84;24.87;24.69;24.33
0.081;81;88;24.87;24.69;24.24
0.084;84;91;24.78;24.69;24.33
0.087;87;94;24.87;24.69;24.24
0.09;90;97;24.87;24.69;24.24
0.093;93;100;24.78;24.69;24.24
0.096;96;103;24.87;24.69;24.33
0.099;99;106;24.87;24.69;24.33
0.102;102;109;24.87;24.69;24.33
0.105;105;112;24.78;24.69;24.33
0.108;108;115;24.87;24.69;24.33
0.111;111;118;24.87;24.69;24.33
0.114;114;121;24.87;24.69;24.24
0.117;117;124;24.87;24.69;24.33
0.121;121;128;24.87;24.69;24.33
0.124;124;131;24.87;24.69;24.33
0.127;127;134;24.87;24.69;24.33
0.13;130;137;24.87;24.69;24.24
0.133;133;140;24.78;24.69;24.33
0.136;136;143;24.87;24.69;24.24
0.139;139;146;24.87;24.69;24.33
0.142;142;149;24.87;24.69;24.33
0.145;145;152;24.87;24.69;24.33
0.148;148;155;24.87;24.69;24.33
0.151;151;158;24.87;24.69;24.33
0.154;154;161;24.78;24.69;24.33
0.157;157;164;24.87;24.69;24.24
0.16;160;167;24.87;24.69;24.33
0.164;164;171;24.87;24.69;24.24
0.167;167;174;24.87;24.69;24.33
0.17;170;177;24.87;24.69;24.33
0.173;173;180;24.87;24.69;24.24
0.176;176;183;24.78;24.69;24.33
0.179;179;186;24.87;24.69;24.24
0.182;182;189;24.87;24.69;24.33
0.185;185;192;24.87;24.69;24.24
0.188;188;195;24.87;24.69;24.33
0.191;191;198;24.78;24.69;24.33
0.194;194;201;24.87;24.69;24.24
0.197;197;204;24.78;24.69;24.33
0.2;200;207;24.87;24.60;24.33
0.203;203;210;24.87;24.69;24.24
0.207;207;214;24.87;24.69;24.33
0.21;210;217;24.87;24.60;24.33
0.213;213;220;24.78;24.69;24.24
0.216;216;223;24.87;24.69;24.33
0.219;219;226;24.78;24.69;24.24
0.222;222;229;24.87;24.69;24.33
0.225;225;232;24.78;24.69;24.24
0.228;228;235;24.78;24.69;24.24
0.231;231;238;24.87;24.69;24.24
0.234;234;241;24.78;24.69;24.24
0.237;237;244;24.78;24.69;24.24
0.24;240;247;24.87;24.69;24.24
0.243;243;250;24.78;24.69;24.33
0.246;246;253;24.87;24.69;24.33
0.25;250;257;24.78;24.69;24.24
0.253;253;260;24.78;24.69;24.33
0.256;256;263;24.78;24.69;24.33
0.259;259;266;24.78;24.60;24.33
0.262;262;269;24.87;24.69;24.33
0.265;265;272;24.78;24.69;24.33
0.268;268;275;24.87;24.60;24.33
0.271;271;278;24.87;24.60;24.33
0.275;275;282;24.78;24.69;24.33
0.278;278;285;24.78;24.69;24.24
0.281;281;288;24.78;24.69;24.33
0.284;284;291;24.78;24.69;24.24
0.287;287;294;24.87;24.69;24.24
0.29;290;297;24.78;24.69;24.33
0.294;294;301;24.78;24.69;24.24
0.297;297;304;24.87;24.69;24.33
0.3;300;307;24.87;24.69;24.24
0.303;303;310;24.78;24.69;24.33
0.306;306;313;24.78;24.69;24.33
0.309;309;316;24.87;24.69;24.24
0.312;312;319;24.78;24.69;24.24
0.315;315;322;24.78;24.69;24.33
0.318;318;325;24.78;24.69;24.24
0.321;321;328;24.78;24.69;24.33
0.324;324;331;24.78;24.69;24.24
0.327;327;334;24.78;24.69;24.33
0.33;330;337;24.87;24.60;24.33
0.333;333;340;24.87;24.69;24.33
0.337;337;344;24.78;24.69;24.33
0.34;340;347;24.87;24.69;24.33
0.343;343;350;24.87;24.69;24.24
0.346;346;353;24.78;24.69;24.24
0.349;349;356;24.78;24.69;24.24
0.352;352;359;24.87;24.69;24.33
0.355;355;362;24.78;24.69;24.24
0.358;358;365;24.78;24.60;24.33
0.361;361;368;24.87;24.69;24.24
0.364;364;371;24.87;24.69;24.33
0.367;367;374;24.78;24.69;24.33
0.37;370;377;24.87;24.69;24.24
0.373;373;380;24.78;24.69;24.33
0.377;377;384;24.78;24.69;24.24
0.38;380;387;24.78;24.69;24.24
0.383;383;390;24.87;24.69;24.33
0.386;386;393;24.78;24.60;24.24
0.389;389;396;24.87;24.69;24.24
0.392;392;399;24.87;24.69;24.24
0.395;395;402;24.78;24.69;24.33
0.398;398;405;24.87;24.69;24.33
0.401;401;408;24.78;24.69;24.33
0.404;404;411;24.78;24.69;24.24
0.407;407;414;24.87;24.69;24.33
0.41;410;417;24.78;24.69;24.24
0.413;413;420;24.87;24.69;24.33
0.416;416;423;24.87;24.69;24.33
0.42;420;427;24.87;24.69;24.24
0.423;423;430;24.87;24.69;24.33
0.426;426;433;24.78;24.69;24.24
0.429;429;436;24.87;24.69;24.24
0.432;432;439;24.78;24.69;24.33
0.436;436;443;24.78;24.69;24.24
0.439;439;446;24.87;24.69;24.24
0.442;442;449;24.78;24.69;24.33
0.445;445;452;24.78;24.69;24.33
0.448;448;455;24.78;24.69;24.33
0.451;451;458;24.78;24.69;24.33
0.454;454;461;24.78;24.69;24.33
0.457;457;464;24.78;24.69;24.33
0.46;460;467;24.87;24.69;24.33
0.464;464;471;24.87;24.69;24.33
0.467;467;474;24.87;24.69;24.24
0.47;470;477;24.87;24.69;24.24
0.473;473;480;24.78;24.69;24.33
0.476;476;483;24.87;24.69;24.33
0.479;479;486;24.78;24.69;24.33
0.482;482;489;24.78;24.69;24.24
0.485;485;492;24.87;24.69;24.33
0.488;488;495;24.78;24.69;24.33
0.491;491;498;24.78;24.69;24.33
0.494;494;501;24.87;24.69;24.24
0.497;497;504;24.87;24.69;24.24
0.5;500;507;24.78;24.69;24.33
0.503;503;510;24.78;24.69;24.33
0.507;507;514;24.78;24.69;24.33
0.51;510;517;24.78;24.69;24.33
0.513;513;520;24.78;24.69;24.33
0.516;516;523;24.78;24.69;24.33
0.519;519;526;24.87;24.69;24.33
0.522;522;529;24.78;24.69;24.33
0.525;525;532;24.78;24.69;24.24
0.528;528;535;24.87;24.69;24.33
0.531;531;538;24.78;24.69;24.33
0.534;534;541;24.78;24.69;24.33
0.537;537;544;24.87;24.69;24.33
0.54;540;547;24.78;24.69;24.33
0.543;543;550;24.78;24.69;24.33
0.546;546;553;24.78;24.69;24.33
0.55;550;557;24.78;24.60;24.33
0.553;553;560;24.87;24.69;24.33
0.556;556;563;24.78;24.69;24.33
0.559;559;566;24.87;24.69;24.33
0.562;562;569;24.87;24.69;24.33
0.565;565;572;24.78;24.69;24.33
0.568;568;575;24.87;24.69;24.24
0.571;571;578;24.78;24.69;24.33
0.574;574;581;24.87;24.60;24.33
0.577;577;584;24.87;24.69;24.33
0.58;580;587;24.78;24.69;24.24
0.583;583;590;24.78;24.69;24.33
0.586;586;593;24.78;24.69;24.24
0.589;589;596;24.87;24.69;24.24
0.594;594;601;24.78;24.60;24.33
0.597;597;604;24.87;24.69;24.33
0.6;600;607;24.87;24.69;24.33
0.603;603;610;24.78;24.69;24.33
0.606;606;613;24.78;24.60;24.33
0.609;609;616;24.78;24.69;24.33
0.612;612;619;24.87;24.69;24.24
0.615;615;622;24.78;24.69;24.24
0.618;618;625;24.87;24.69;24.33
0.621;621;628;24.87;24.69;24.33
0.624;624;631;24.78;24.69;24.24
0.627;627;634;24.87;24.69;24.33
0.63;630;637;24.78;24.69;24.33
0.634;634;641;24.78;24.69;24.33
0.637;637;644;24.87;24.69;24.33
0.64;640;647;24.78;24.69;24.24
0.643;643;650;24.78;24.69;24.33
0.646;646;653;24.78;24.69;24.33
0.649;649;656;24.78;24.69;24.33
0.652;652;659;24.87;24.69;24.33
0.655;655;662;24.78;24.69;24.33
0.658;658;665;24.87;24.69;24.33
0.661;661;668;24.87;24.69;24.33
0.664;664;671;24.87;24.60;24.33
0.667;667;674;24.87;24.69;24.24
0.67;670;677;24.87;24.60;24.33
0.673;673;680;24.87;24.69;24.33
0.677;677;684;24.78;24.69;24.33
0.68;680;687;24.87;24.69;24.24
0.683;683;690;24.87;24.69;24.24
0.686;686;693;24.78;24.69;24.33
0.689;689;696;24.87;24.69;24.24
0.692;692;699;24.78;24.69;24.33
0.695;695;702;24.78;24.69;24.24
0.698;698;705;24.87;24.69;24.33
0.701;701;708;24.78;24.69;24.33
0.704;704;711;24.87;24.69;24.24
0.707;707;714;24.78;24.69;24.33
0.71;710;717;24.87;24.69;24.33
0.713;713;720;24.78;24.69;24.33
0.716;716;723;24.87;24.69;24.33
0.72;720;727;24.78;24.69;24.33
0.723;723;730;24.78;24.69;24.24
0.726;726;733;24.87;24.69;24.33
0.729;729;736;24.78;24.69;24.33
0.732;732;739;24.87;24.69;24.33
0.735;735;742;24.87;24.69;24.33
0.738;738;745;24.78;24.69;24.33
0.741;741;748;24.87;24.69;24.33
0.744;744;751;24.78;24.69;24.33
0.747;747;754;24.87;24.69;24.24
0.75;750;757;24.87;24.69;24.24
0.753;753;760;24.87;24.69;24.33
0.756;756;763;24.87;24.69;24.33
0.759;759;766;24.87;24.69;24.33
0.763;763;770;24.78;24.69;24.33
0.767;767;774;24.87;24.69;24.24
0.77;770;777;24.78;24.69;24.24
0.773;773;780;24.87;24.69;24.33
0.776;776;783;24.78;24.69;24.33
0.779;779;786;24.87;24.69;24.33
0.782;782;789;24.87;24.69;24.24
0.785;785;792;24.78;24.69;24.33
0.788;788;795;24.87;24.69;24.33
0.791;791;798;24.87;24.69;24.33
0.794;794;801;24.78;24.69;24.33
0.797;797;804;24.87;24.69;24.33
0.8;800;807;24.78;24.69;24.33
0.804;804;811;24.78;24.69;24.33
0.807;807;814;24.78;24.69;24.33
0.81;810;817;24.78;24.69;24.24
0.813;813;820;24.87;24.69;24.24
0.816;816;823;24.78;24.69;24.33
0.819;819;826;24.87;24.69;24.33
0.822;822;829;24.78;24.69;24.24
0.825;825;832;24.87;24.69;24.33
0.828;828;835;24.78;24.69;24.33
0.831;831;838;24.87;24.69;24.24
0.834;834;841;24.78;24.69;24.33
0.837;837;844;24.78;24.69;24.33
0.84;840;847;24.87;24.69;24.33
0.843;843;850;24.78;24.69;24.33
0.847;847;854;24.78;24.69;24.33
0.85;850;857;24.78;24.69;24.33
0.853;853;860;24.87;24.69;24.33
0.856;856;863;24.78;24.69;24.33
0.859;859;866;24.87;24.69;24.33
0.862;862;869;24.87;24.69;24.33
0.865;865;872;24.87;24.69;24.33
0.868;868;875;24.78;24.69;24.33
0.871;871;878;24.87;24.69;24.33
0.874;874;881;24.87;24.69;24.24
0.877;877;884;24.78;24.69;24.33
0.88;880;887;24.87;24.69;24.33
0.883;883;890;24.78;24.69;24.33
0.886;886;893;24.87;24.69;24.33
0.89;890;897;24.87;24.69;24.33
0.893;893;900;24.78;24.69;24.33
0.896;896;903;24.78;24.69;24.33
0.899;899;906;24.78;24.69;24.33
0.902;902;909;24.78;24.69;24.24
0.905;905;912;24.87;24.69;24.33
0.908;908;915;24.78;24.69;24.33
0.911;911;918;24.78;24.69;24.33
0.914;914;921;24.78;24.69;24.33
0.917;917;924;24.78;24.60;24.24
0.92;920;927;24.78;24.69;24.33
0.923;923;930;24.87;24.69;24.33
0.926;926;933;24.78;24.69;24.33
0.929;929;936;24.78;24.69;24.33
0.933;933;940;24.87;24.69;24.24
