temps (s);temps(ms);temps;ACTU;MILIEU;LASER
0;0;1303;21.86;21.95;21.59
0.004;4;1307;21.86;21.95;21.68
0.007;7;1310;21.86;21.95;21.59
0.01;10;1313;21.86;21.95;21.59
0.013;13;1316;21.86;21.95;21.68
0.016;16;1319;21.86;21.95;21.68
0.02;20;1323;21.86;21.95;21.59
0.024;24;1327;21.86;21.95;21.59
0.027;27;1330;21.86;21.95;21.59
0.03;30;1333;21.86;21.95;21.59
0.033;33;1336;21.86;21.95;21.59
0.036;36;1339;21.86;21.95;21.59
0.039;39;1342;21.86;21.95;21.68
0.043;43;1346;21.86;21.95;21.59
0.046;46;1349;21.86;21.95;21.68
0.049;49;1352;21.86;21.95;21.68
0.052;52;1355;21.86;21.95;21.59
0.055;55;1358;21.86;21.95;21.68
0.058;58;1361;21.86;21.95;21.68
0.063;63;1366;21.86;21.95;21.68
0.066;66;1369;21.86;21.95;21.59
0.069;69;1372;21.86;21.95;21.68
0.072;72;1375;21.86;21.95;21.59
0.075;75;1378;21.86;21.95;21.59
0.079;79;1382;21.86;21.95;21.68
0.082;82;1385;21.86;21.95;21.68
0.085;85;1388;21.86;21.95;21.59
0.088;88;1391;21.86;21.95;21.59
0.091;91;1394;21.86;21.95;21.59
0.094;94;1397;21.86;21.95;21.68
0.098;98;1401;21.86;21.86;21.59
0.101;101;1404;21.86;21.95;21.68
0.105;105;1408;21.86;21.95;21.59
0.108;108;1411;21.86;21.95;21.59
0.111;111;1414;21.86;21.95;21.68
0.114;114;1417;21.86;21.95;21.59
0.118;118;1421;21.77;21.95;21.68
0.121;121;1424;21.86;21.95;21.59
0.124;124;1427;21.86;21.95;21.59
0.127;127;1430;21.86;21.95;21.68
0.13;130;1433;21.86;21.95;21.68
0.133;133;1436;21.86;21.95;21.59
0.137;137;1440;21.86;21.95;21.59
0.14;140;1443;21.86;21.95;21.59
0.143;143;1446;21.86;21.95;21.59
0.146;146;1449;21.86;21.95;21.59
0.15;150;1453;21.86;21.95;21.59
0.154;154;1457;21.86;21.95;21.59
0.157;157;1460;21.86;21.95;21.68
0.16;160;1463;21.86;21.95;21.68
0.163;163;1466;21.86;21.95;21.59
0.166;166;1469;21.86;21.95;21.59
0.169;169;1472;21.86;21.95;21.68
0.173;173;1476;21.86;21.95;21.59
0.176;176;1479;21.86;21.95;21.68
0.179;179;1482;21.86;21.95;21.59
0.182;182;1485;21.86;21.95;21.59
0.185;185;1488;21.86;21.95;21.68
0.188;188;1491;21.86;21.95;21.59
0.193;193;1496;21.86;21.95;21.68
0.196;196;1499;21.86;21.95;21.59
0.199;199;1502;21.86;21.95;21.68
0.202;202;1505;21.86;21.95;21.68
0.205;205;1508;21.86;21.95;21.59
0.208;208;1511;21.86;21.95;21.68
0.212;212;1515;21.86;21.95;21.59
0.215;215;1518;21.86;21.95;21.59
0.218;218;1521;21.86;21.95;21.59
0.221;221;1524;21.86;21.95;21.59
0.224;224;1527;21.86;21.95;21.59
0.227;227;1530;21.86;21.95;21.59
0.231;231;1534;21.86;21.95;21.68
0.235;235;1538;21.86;21.95;21.59
0.238;238;1541;21.86;21.95;21.68
0.241;241;1544;21.86;21.95;21.59
0.244;244;1547;21.86;21.95;21.68
0.248;248;1551;21.86;21.95;21.59
0.251;251;1554;21.86;21.95;21.68
0.254;254;1557;21.86;21.95;21.59
0.257;257;1560;21.86;21.95;21.59
0.26;260;1563;21.86;21.95;21.59
0.263;263;1566;21.86;21.95;21.59
0.266;266;1569;21.86;21.95;21.68
0.27;270;1573;21.86;21.95;21.59
0.273;273;1576;21.86;21.95;21.68
0.277;277;1580;21.86;21.95;21.68
0.28;280;1583;21.86;21.95;21.59
0.283;283;1586;21.86;21.95;21.59
0.287;287;1590;21.86;21.95;21.59
0.29;290;1593;21.86;21.95;21.68
0.293;293;1596;21.86;21.95;21.68
0.296;296;1599;21.86;21.95;21.59
0.299;299;1602;21.86;21.95;21.68
0.302;302;1605;21.86;21.95;21.59
0.306;306;1609;21.86;21.95;21.59
0.309;309;1612;21.86;21.95;21.68
0.312;312;1615;21.86;21.95;21.59
0.315;315;1618;21.86;21.95;21.59
0.319;319;1622;21.86;21.95;21.68
0.322;322;1625;21.86;21.95;21.59
0.326;326;1629;21.86;21.95;21.59
0.329;329;1632;21.86;21.95;21.59
0.332;332;1635;21.86;21.95;21.59
0.335;335;1638;21.86;21.95;21.59
0.338;338;1641;21.86;21.95;21.59
0.341;341;1644;21.86;21.95;21.59
0.345;345;1648;21.86;21.95;21.68
0.348;348;1651;21.86;21.95;21.59
0.351;351;1654;21.86;21.95;21.59
0.354;354;1657;21.86;21.95;21.59
0.357;357;1660;21.86;21.95;21.59
0.361;361;1664;21.86;21.95;21.59
0.365;365;1668;21.86;21.95;21.59
0.368;368;1671;21.86;21.95;21.59
0.371;371;1674;21.86;21.95;21.59
0.374;374;1677;21.86;21.95;21.68
0.377;377;1680;21.86;21.95;21.68
0.381;381;1684;21.86;21.95;21.68
0.384;384;1687;21.86;21.95;21.68
0.387;387;1690;21.86;21.95;21.59
0.39;390;1693;21.86;21.95;21.68
0.393;393;1696;21.86;21.95;21.59
0.396;396;1699;21.86;21.95;21.68
0.4;400;1703;21.86;21.95;21.59
0.404;404;1707;21.86;21.95;21.68
0.407;407;1710;21.86;21.95;21.59
0.41;410;1713;21.86;21.95;21.68
0.413;413;1716;21.86;21.95;21.59
0.416;416;1719;21.86;21.95;21.59
0.42;420;1723;21.86;21.95;21.68
0.423;423;1726;21.86;21.95;21.68
0.426;426;1729;21.86;21.95;21.59
0.429;429;1732;21.86;21.95;21.59
0.432;432;1735;21.86;21.95;21.68
0.435;435;1738;21.86;21.95;21.68
0.439;439;1742;21.86;21.95;21.68
0.442;442;1745;21.86;21.95;21.68
0.445;445;1748;21.86;21.95;21.59
0.449;449;1752;21.86;21.95;21.59
0.452;452;1755;21.86;21.95;21.68
0.456;456;1759;21.86;21.95;21.59
0.459;459;1762;21.86;21.95;21.68
0.462;462;1765;21.86;21.95;21.68
0.465;465;1768;21.86;21.95;21.59
0.468;468;1771;21.86;21.95;21.59
0.471;471;1774;21.86;21.95;21.59
0.475;475;1778;21.86;21.95;21.59
0.478;478;1781;21.86;21.95;21.59
0.481;481;1784;21.86;21.95;21.68
0.484;484;1787;21.86;21.95;21.59
0.487;487;1790;21.86;21.95;21.59
0.491;491;1794;21.86;21.95;21.59
0.495;495;1798;21.86;21.95;21.59
0.498;498;1801;21.86;21.95;21.59
0.501;501;1804;21.86;21.95;21.68
0.504;504;1807;21.86;21.95;21.68
0.507;507;1810;21.86;21.95;21.68
0.51;510;1813;21.86;21.95;21.59
0.514;514;1817;21.86;21.95;21.68
0.517;517;1820;21.86;21.95;21.59
0.52;520;1823;21.86;21.95;21.59
0.523;523;1826;21.86;21.95;21.59
0.526;526;1829;21.86;21.95;21.59
0.529;529;1832;21.86;21.95;21.59
0.534;534;1837;21.86;21.95;21.68
0.537;537;1840;21.86;21.95;21.59
0.54;540;1843;21.86;21.95;21.68
0.543;543;1846;21.86;21.95;21.68
0.546;546;1849;21.86;21.95;21.59
0.55;550;1853;21.86;21.95;21.68
0.553;553;1856;21.86;21.95;21.59
0.556;556;1859;21.77;21.95;21.68
0.559;559;1862;21.77;21.95;21.68
0.562;562;1865;21.86;21.95;21.59
0.565;565;1868;21.86;21.95;21.68
0.568;568;1871;21.77;21.95;21.59
0.572;572;1875;21.86;21.95;21.59
0.576;576;1879;21.86;21.95;21.59
