temps (s);temps (ms);temps;ACTU;MILIEU;LASER
0;0;3026;22.65;22.74;22.39
0.504;504;3530;22.65;22.74;22.47
1.007;1007;4033;22.65;22.74;22.47
1.511;1511;4537;22.65;22.74;22.47
2.014;2014;5040;22.65;22.74;22.47
2.516;2516;5542;22.65;22.74;22.47
3.02;3020;6046;22.65;22.74;22.47
3.523;3523;6549;22.65;22.74;22.39
4.027;4027;7053;22.65;22.74;22.47
4.53;4530;7556;22.65;22.74;22.39
5.032;5032;8058;22.65;22.74;22.47
5.536;5536;8562;22.65;22.74;22.47
6.039;6039;9065;22.65;22.74;22.47
6.543;6543;9569;22.65;22.74;22.47
7.046;7046;10072;22.65;22.74;22.39
7.548;7548;10574;22.65;22.74;22.39
8.052;8052;11078;22.65;22.74;22.47
8.555;8555;11581;22.65;22.74;22.39
9.059;9059;12085;22.65;22.74;22.39
9.562;9562;12588;22.65;22.74;22.39
10.065;10065;13091;22.65;22.74;22.39
10.568;10568;13594;22.65;22.74;22.47
11.072;11072;14098;22.65;22.74;22.47
11.575;11575;14601;22.65;22.74;22.39
12.078;12078;15104;22.65;22.74;22.47
12.581;12581;15607;22.65;22.74;22.47
13.084;13084;16110;22.65;22.74;22.47
13.588;13588;16614;22.65;22.74;22.47
14.091;14091;17117;22.65;22.74;22.47
14.594;14594;17620;22.65;22.74;22.47
15.097;15097;18123;22.65;22.74;22.47
15.601;15601;18627;22.65;22.74;22.47
16.104;16104;19130;22.65;22.74;22.47
16.608;16608;19634;22.65;22.74;22.47
17.11;17110;20136;22.65;22.74;22.47
17.614;17614;20640;22.65;22.74;22.47
18.117;18117;21143;22.65;22.74;22.47
18.62;18620;21646;22.65;22.74;22.47
19.124;19124;22150;22.65;22.74;22.47
19.626;19626;22652;22.65;22.74;22.47
20.13;20130;23156;22.65;22.74;22.47
20.633;20633;23659;22.65;22.74;22.47
21.137;21137;24163;22.65;22.74;22.47
21.64;21640;24666;22.65;22.74;22.47
22.143;22143;25169;22.65;22.83;22.47
22.646;22646;25672;22.65;22.83;22.47
23.15;23150;26176;22.74;22.83;22.56
23.653;23653;26679;22.74;22.74;22.56
24.156;24156;27182;22.74;22.83;22.56
24.659;24659;27685;22.83;22.83;22.56
25.162;25162;28188;23.00;22.83;22.56
25.666;25666;28692;23.18;22.83;22.56
26.169;26169;29195;23.53;22.83;22.56
26.673;26673;29699;23.80;22.83;22.56
27.175;27175;30201;24.15;22.83;22.56
27.679;27679;30705;24.51;22.83;22.56
28.182;28182;31208;24.87;22.83;22.56
28.686;28686;31712;25.22;22.83;22.56
29.189;29189;32215;25.49;22.83;22.56
29.692;29692;32718;25.76;22.83;22.56
30.195;30195;33221;26.03;22.92;22.56
30.698;30698;33724;26.30;22.92;22.56
31.202;31202;34228;26.57;22.92;22.56
31.705;31705;34731;26.84;23.00;22.56
32.208;32208;35234;27.11;23.00;22.56
32.711;32711;35737;27.29;23.09;22.56
33.215;33215;36241;27.56;23.09;22.56
33.718;33718;36744;27.84;23.09;22.56
34.222;34222;37248;28.02;23.18;22.56
34.724;34724;37750;28.20;23.18;22.56
35.228;35228;38254;28.47;23.27;22.56
35.731;35731;38757;28.66;23.36;22.56
36.235;36235;39261;28.84;23.36;22.56
36.737;36737;39763;29.02;23.36;22.56
37.24;37240;40266;29.21;23.45;22.56
37.744;37744;40770;29.30;23.53;22.56
38.247;38247;41273;29.49;23.53;22.56
38.751;38751;41777;29.67;23.62;22.56
39.253;39253;42279;29.86;23.71;22.56
39.757;39757;42783;29.95;23.71;22.56
40.26;40260;43286;30.13;23.80;22.56
40.764;40764;43790;30.32;23.89;22.56
41.267;41267;44293;30.41;23.89;22.65
41.769;41769;44795;30.60;23.98;22.65
42.273;42273;45299;30.79;24.07;22.65
42.776;42776;45802;30.88;24.15;22.65
43.28;43280;46306;31.07;24.24;22.74
43.783;43783;46809;31.16;24.24;22.74
44.286;44286;47312;31.35;24.33;22.74
