temps(s);temps2 ;temps;ACTU;MILIEU;LASERF
0;0;1;24.07;24.78;25.67
0.003;3;4;24.07;24.78;25.66998037
0.006;6;7;24.07;24.78;25.65196501
0.009;9;10;24.07;24.78;25.63401271
0.012;12;13;24.07;24.78;25.61615169
0.014;14;15;24.07;24.69;25.59840986
0.017;17;18;24.07;24.78;25.58081465
0.02;20;21;24.07;24.78;25.56339295
0.023;23;24;24.07;24.78;25.54617098
0.026;26;27;24.07;24.78;25.52917425
0.029;29;30;24.07;24.78;25.51242742
0.032;32;33;24.07;24.78;25.49595422
0.035;35;36;24.07;24.78;25.47977741
0.038;38;39;24.07;24.78;25.46391869
0.042;42;43;24.07;24.78;25.44839862
0.045;45;46;24.07;24.78;25.43323656
0.048;48;49;24.07;24.78;25.41845065
0.051;51;52;23.98;24.78;25.40405772
0.054;54;55;23.98;24.78;25.3900733
0.057;57;58;24.07;24.78;25.37651153
0.06;60;61;23.98;24.78;25.36338516
0.062;62;63;23.98;24.78;25.35070558
0.065;65;66;24.07;24.78;25.33848269
0.068;68;69;24.07;24.78;25.32672503
0.071;71;72;23.98;24.78;25.31543968
0.074;74;75;24.07;24.78;25.30463231
0.077;77;78;24.07;24.78;25.29430718
0.08;80;81;24.07;24.78;25.28446717
0.083;83;84;24.07;24.78;25.27511379
0.087;87;88;24.07;24.78;25.26624723
0.09;90;91;23.98;24.78;25.25786637
0.093;93;94;23.98;24.78;25.24996883
0.096;96;97;24.07;24.78;25.24255101
0.099;99;100;23.98;24.78;25.23560815
0.102;102;103;24.07;24.78;25.22913434
0.105;105;106;23.98;24.78;25.22312264
0.108;108;109;24.07;24.78;25.21756506
0.111;111;112;23.98;24.78;25.21245268
0.114;114;115;23.98;24.78;25.20777566
0.117;117;118;23.98;24.78;25.20352336
0.12;120;121;23.98;24.78;25.19968432
0.123;123;124;23.98;24.78;25.19624642
0.127;127;128;23.98;24.78;25.19319687
0.13;130;131;23.98;24.78;25.19052229
0.133;133;134;24.07;24.78;25.18820881
0.136;136;137;23.98;24.78;25.1862421
0.139;139;140;23.98;24.87;25.18460743
0.142;142;143;24.07;24.78;25.18328976
0.145;145;146;23.98;24.87;25.18227377
0.148;148;149;23.98;24.78;25.18154394
0.151;151;152;23.98;24.78;25.18108462
0.154;154;155;23.98;24.78;25.18088005
0.157;157;158;23.98;24.78;25.18091445
0.16;160;161;23.98;24.78;25.18117205
0.163;163;164;23.98;24.78;25.18163715
0.166;166;167;23.98;24.78;25.18229417
0.17;170;171;23.98;24.78;25.18312771
0.173;173;174;23.98;24.78;25.18412256
0.176;176;177;23.98;24.78;25.18526376
0.179;179;180;23.98;24.78;25.18653665
0.182;182;183;23.98;24.78;25.1879269
0.185;185;186;23.98;24.78;25.18942052
0.188;188;189;23.98;24.78;25.19100393
0.191;191;192;23.98;24.78;25.19266398
0.194;194;195;23.98;24.78;25.19438793
0.197;197;198;23.98;24.78;25.19616354
0.2;200;201;23.98;24.78;25.19797906
0.203;203;204;23.98;24.78;25.19982325
0.206;206;207;23.98;24.78;25.20168537
0.209;209;210;23.98;24.78;25.20355526
0.213;213;214;23.98;24.78;25.20542329
0.217;217;218;23.98;24.78;25.20728039
0.22;220;221;23.98;24.87;25.20911807
0.223;223;224;23.98;24.87;25.21092838
0.226;226;227;23.98;24.78;25.21270398
0.229;229;230;23.98;24.78;25.21443808
0.232;232;233;23.98;24.78;25.21612444
0.235;235;236;23.98;24.78;25.21775742
0.238;238;239;23.98;24.78;25.2193319
0.241;241;242;23.98;24.87;25.22084331
0.244;244;245;23.98;24.78;25.22228764
0.247;247;248;23.98;24.78;25.22366136
0.25;250;251;23.98;24.78;25.22496148
0.253;253;254;23.98;24.78;25.22618547
0.257;257;258;23.98;24.78;25.2273313
0.26;260;261;23.98;24.78;25.22839738
0.263;263;264;23.98;24.78;25.22938255
0.266;266;267;23.98;24.78;25.23028607
0.269;269;270;23.98;24.78;25.23110761
0.272;272;273;23.98;24.78;25.23184719
0.275;275;276;23.98;24.78;25.23250521
0.278;278;279;23.98;24.78;25.23308236
0.281;281;282;23.98;24.78;25.23357968
0.284;284;285;23.98;24.78;25.23399847
0.287;287;288;23.98;24.78;25.2343403
0.29;290;291;23.98;24.78;25.23460698
0.293;293;294;23.98;24.78;25.23480056
0.296;296;297;23.98;24.78;25.23492326
0.3;300;301;23.98;24.78;25.2349775
0.303;303;304;23.98;24.78;25.23496586
0.306;306;307;23.98;24.78;25.23489105
0.309;309;310;23.98;24.78;25.23475591
0.312;312;313;23.98;24.87;25.23456338
0.315;315;316;23.98;24.78;25.2343165
0.318;318;319;23.98;24.78;25.23401837
0.321;321;322;23.98;24.78;25.23367213
0.324;324;325;23.98;24.78;25.233281
0.327;327;328;23.98;24.78;25.23284819
0.33;330;331;23.98;24.87;25.23237693
0.333;333;334;23.98;24.78;25.23187046
0.336;336;337;23.98;24.78;25.23133199
0.339;339;340;23.98;24.78;25.23076471
0.344;344;345;23.98;24.78;25.23017179
0.347;347;348;23.98;24.78;25.22955632
0.35;350;351;23.98;24.78;25.22892135
0.353;353;354;23.98;24.78;25.22826989
0.356;356;357;23.98;24.78;25.22760483
0.359;359;360;23.98;24.78;25.22692902
0.362;362;363;23.98;24.78;25.2262452
0.365;365;366;23.98;24.78;25.22555602
0.368;368;369;23.98;24.78;25.22486404
0.371;371;372;23.98;24.78;25.22417171
0.374;374;375;23.98;24.87;25.22348138
0.377;377;378;23.98;24.78;25.22279526
0.38;380;381;23.98;24.78;25.22211549
0.384;384;385;23.98;24.78;25.22144405
0.387;387;388;23.98;24.78;25.22078282
0.39;390;391;23.98;24.78;25.22013356
0.393;393;394;23.98;24.78;25.2194979
0.396;396;397;23.98;24.78;25.21887736
0.399;399;400;23.98;24.78;25.2182733
0.402;402;403;23.98;24.78;25.217687
0.405;405;406;23.98;24.78;25.21711959
0.408;408;409;23.89;24.78;25.2165721
0.411;411;412;23.98;24.78;25.21604542
0.414;414;415;23.98;24.78;25.21554033
0.417;417;418;23.98;24.78;25.2150575
0.42;420;421;23.89;24.78;25.21459748
0.423;423;424;23.98;24.78;25.21416073
0.427;427;428;23.89;24.78;25.21374757
0.43;430;431;23.98;24.78;25.21335825
0.433;433;434;23.98;24.78;25.21299289
0.436;436;437;23.89;24.78;25.21265154
0.439;439;440;23.89;24.78;25.21233414
0.442;442;443;23.98;24.78;25.21204055
